YEAR,Month,Day,Hour,irradiance,temperature,dewpoint,specific humidity,wind speed,Electric Load (MW)
2021,11,1,5,0,15.39,13.23,9.46,2.33,46.9493
2021,11,1,6,4.4,15.1,13.25,9.46,2.38,50.224
2021,11,1,7,196.46,17.47,13.55,9.64,3.36,58.3981
2021,11,1,8,381.62,20.04,14.01,9.95,2.73,56.3945
2021,11,1,9,528.48,24.1,14.38,10.19,1.58,57.8824
2021,11,1,10,743.25,28.8,12.46,9.03,1,58.6481
2021,11,1,11,803.22,31.11,11.57,8.54,1.28,57.8539
2021,11,1,12,799.21,32.1,11.35,8.42,1.51,53.9185
2021,11,1,13,719.9,32.53,11.29,8.42,1.77,56.4952
2021,11,1,14,568.8,32.46,11.26,8.42,2.18,58.4826
2021,11,1,15,368.38,31.79,11.81,8.73,2.46,62.204
2021,11,1,16,151.16,30.33,12.9,9.4,2.46,62.4052
2021,11,1,17,11.48,25.95,16.1,11.47,2.51,63.2645
2021,11,1,18,0,23.69,14.95,10.62,2.98,63.6992
2021,11,1,19,0,22.81,15,10.62,3.03,61.3307
2021,11,1,20,0,22.08,15.05,10.62,2.98,50.9635
2021,11,1,21,0,21.36,14.94,10.56,2.88,44.6027
2021,11,1,22,0,20.58,14.73,10.44,2.82,38.4943
2021,11,1,23,0,19.76,14.51,10.25,2.76,35.4675
2021,11,2,0,0,18.94,14.31,10.13,2.7,38.0879
2021,11,2,1,0,18.08,14.17,10.07,2.63,36.8453
2021,11,2,2,0,17.24,14.08,10.01,2.6,33.7005
2021,11,2,3,0,16.52,14.01,9.95,2.7,34.1085
2021,11,2,4,0,15.98,13.98,9.89,2.91,32.9142
2021,11,2,5,0,15.55,13.98,9.89,3.17,34.4352
2021,11,2,6,24.81,15.32,13.98,9.89,3.56,42.5237
2021,11,2,7,194.04,16.9,14.12,9.95,4.66,51.5871
2021,11,2,8,378.68,19.76,14.62,10.31,3.79,49.9914
2021,11,2,9,592.29,24.01,15.13,10.68,3.47,50.347
2021,11,2,10,725.98,28.33,13.72,9.77,4.03,53.7609
2021,11,2,11,791.06,30.72,12.59,9.09,4.28,57.5169
2021,11,2,12,782.64,31.81,12.2,8.85,4.41,55.0168
2021,11,2,13,702.67,32.29,11.92,8.73,4.55,55.8834
2021,11,2,14,555.65,32.12,11.87,8.73,4.44,58.4491
2021,11,2,15,358.09,31.3,12.34,8.97,4,58.0789
2021,11,2,16,144.52,29.64,13.58,9.77,3.2,56.9407
2021,11,2,17,10.8,25.48,15.81,11.23,2.53,61.5246
2021,11,2,18,0,23.48,14.57,10.31,2.73,69.9694
2021,11,2,19,0,22.64,14.33,10.13,2.7,65.2592
2021,11,2,20,0,21.8,14.08,9.95,2.77,61.9849
2021,11,2,21,0,21.01,13.83,9.83,2.9,60.3017
2021,11,2,22,0,20.29,13.62,9.64,2.94,48.5173
2021,11,2,23,0,19.58,13.4,9.52,2.9,43.364
2021,11,3,0,0,18.88,13.26,9.46,2.87,46.8828
2021,11,3,1,0,18.17,13.15,9.4,2.84,40.9763
2021,11,3,2,0,17.55,13.07,9.34,2.94,40.8432
2021,11,3,3,0,17.14,13.01,9.28,3.36,38.2282
2021,11,3,4,0,16.68,13.02,9.34,3.73,30.4072
2021,11,3,5,0,16.07,13.13,9.4,3.73,35.2228
2021,11,3,6,23.99,15.61,13.3,9.46,3.76,40.81
2021,11,3,7,187.73,17.01,13.59,9.64,4.75,51.4246
2021,11,3,8,400.99,19.71,14.13,10.01,3.83,46.1856
2021,11,3,9,589.2,23.84,14.69,10.38,3.51,47.8719
2021,11,3,10,723.31,28.1,13.54,9.64,3.92,50.7234
2021,11,3,11,783.3,30.34,12.36,8.97,3.84,49.5889
2021,11,3,12,661.21,31.31,11.68,8.61,3.68,55.8686
2021,11,3,13,708.53,31.75,11.01,8.24,3.58,56.0296
2021,11,3,14,562.23,31.67,10.46,8,3.43,51.2269
2021,11,3,15,363.62,30.98,10.48,8,3.23,58.7016
2021,11,3,16,147.91,29.4,11.48,8.54,2.7,56.9928
2021,11,3,17,10.66,25.06,14.37,10.25,2.48,54.3546
2021,11,3,18,0,22.83,12.87,9.28,2.89,64.0808
2021,11,3,19,0,21.76,12.62,9.09,3.03,61.3104
2021,11,3,20,0,20.89,12.42,8.97,3.08,56.2268
2021,11,3,21,0,20.15,12.19,8.85,3.09,49.4958
2021,11,3,22,0,19.48,11.91,8.67,3.06,44.7966
2021,11,3,23,0,18.83,11.6,8.48,3,43.9916
